# METADATA,TOTAL_BRANCHES=310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Group,Number of Cultures,Cultures,BIC_Learn_2_art,BIC_PowerPlatform_2_art,BIC_base11_2,BIC_base17_2,BIC_base22_2,BIC_base41_2_art,BIC_base43_2,BIC_base52_2,CES_LifeCycle,CES_OfficeSupport,CES_ServicesHub,CES_SupportArticles,Default_Azure,Default_Azure2_1,Default_AzureUX,Default_Azure_1,Default_Azure_2,Default_Azure_MT,Default_Azure_ext2_1,Default_Azure_ext_1,Default_Azure_ext_1_art,Default_Azure_ext_MT,Default_Banners_1,Default_BizTalk,Default_DocsRoot_1,Default_DocsUI_1,Default_Learn_1,Default_Learn_1_art,Default_Legal_1,Default_Mooncake,Default_Mooncake_1,Default_PowerBI_1,Default_QNA_1,Default_SQL_MT,Default_SQL_ext,Default_SQL_ext_MT,Default_VS_ext_MT,GitHub_docs_1,OPS-E2E-Prod,Self-Serve-Test,SelfServe-Default
GitHub_base_1,1,ru-RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,
Default_Azure_ext_1,1,ar-SA,,,,,,,,,,,,,,,,,,,,1|MT|0|0,8|MT|0|0,,,,,,,,,,,,,,,,,,,,
Default_Mooncake_1,1,zh-CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MTPE|0|0,2|MTPE|0|0,,,,,,,,,,
BIC_lang_hu-HU,1,hu-HU,,,,,,,,3|AIPE|3|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Serve-Test,2,"fr-FR,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3|AIPE|3|0,
CES_OfficeSupport_2,2,"fi-FI,he-IL",,,,,,,,,,2|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_ext2,2,"ar-SA,he-IL",,,,,,,,,,,,,,,,,,,2|MT|0|0,,,,,,,,,,,,,,,,,,,,,,
BIC_Art_2_2,2,"fr-FR,ja-JP",,3|HT|0|0,,,,2|HT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Platform_HT_3,3,"bs-Latn-BA,lb-LU,zh-HK",,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|0,,1|HPE|0|0,,,,1|HT|0|0,,,,,,,,,,,,
OPS-E2E-Prod-ref,3,"de-DE,ja-JP,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,
Default_Learn_MT_4,4,"hi-IN,ro-RO,uk-UA,vi-VN",,,,,,,,,,,,,,,,,,,,,,,,,,,6|MT|0|0,,,,,,,,,,,,,,
BIC_Relevant1_4,4,"fi-FI,nb-NO,pt-BR,sv-SE",,,10|HPE|0|10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS-E2E-Prod,5,"de-DE,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|AIPE|1|0,,
Default_Azure_6,6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",,,,,,,,,,,,,46|AIPE|46|0,,,40|AIPE|40|0,28|AIPE|28|0,,2|MT|0|0,1|AIPE|1|0,,,,,,,6|HPE|0|6,,,,,6|AIPE|6|0,2|AIPE|2|0,,,,,,,,7|HPE|0|7
Default_Azure_MT_6,6,"da-DK,el-GR,fi-FI,nb-NO,sk-SK,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,,,,6|MT|0|0,,,,,,,,,
OPS-E2E-Prod-training,6,"de-DE,hu-HU,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|AIPE|1|0,,
AIPE_ext_7,7,"ar-SA,da-DK,el-GR,fi-FI,he-IL,nb-NO,th-TH",,,,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|1,,,,,,,,2|AIPE|2|0,,,,,,,,
GitHub_base_7,7,"de-DE,es-ES,fr-FR,ja-JP,ko-KR,pt-BR,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|1,,,
BIC_Essential1_7,7,"da-DK,de-DE,es-ES,fr-FR,it-IT,ja-JP,nl-NL",,,10|HPE|0|10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_8,8,"ar-SA,de-DE,es-ES,fr-FR,it-IT,ja-JP,pt-BR,zh-CN",2|HT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub_legal_8_GL_8,8,"de-DE,es-ES,fr-FR,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MTPE|0|0,,,
Default_AzureDocs_9,9,"cs-CZ,hu-HU,id-ID,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR",,,,,,,,,,,,,,1|AIPE|1|0,,,,,,,8|AIPE|8|0,,,,,,,,,,,,,,,,,,,,
Default_BizTalk_MT_9,9,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3|AIPE|3|0,
Default_AzureDocs_9_HPE,9,"de-DE,es-ES,fr-FR,it-IT,ja-JP,ko-KR,pt-BR,zh-CN,zh-TW",,,,,,,,,,,,,,1|AIPE|1|0,,,,,,,8|HPE|0|8,,,,,,,,,,,,,,,,,,,,
Default_BizTalk_9,9,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,1|AIPE|1|0,,,,,,,,,,,,,,,,,
Default_Learn_9_HPE,9,"de-DE,es-ES,fr-FR,it-IT,ja-JP,ko-KR,pt-BR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|HPE|0|2,,,,,,,,,,,,,
Default_Learn_9,9,"cs-CZ,hu-HU,id-ID,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,2|AIPE|2|0,,,,,,,,,,,,,
Default_Learn_MT_10,10,"ar-SA,da-DK,fi-FI,he-IL,hi-IN,nb-NO,ro-RO,th-TH,uk-UA,vi-VN",,,,,,,,,,,,,,,,,,,,,,,,,,,6|MT|0|0,2|MT|0|0,,,,,,,,,,,,,7|MT|0|0
Default_SQL_MT_10,10,"de-DE,es-ES,fr-FR,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,,,,,
Default_SQL_ext_MT_11,11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3|MT|0|0,27|MT|0|0,,,,,
Default_SQL_ext_11,11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3|AIPE|3|0,,,,,,
CES_Lifecycle_12_noAIPE,12,"bg-BG,et-EE,hi-IN,hr-HR,lt-LT,lv-LV,ro-RO,sk-SK,sl-SI,sr-Latn-RS,uk-UA,vi-VN",,,,,,,,,2|HPE|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_12,12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",,,,,,,,,,,,,46|AIPE|46|0,,,40|AIPE|40|0,28|AIPE|28|0,,2|MT|0|0,1|AIPE|1|0,,,,,,,6|AIPE|6|0,,,,,6|AIPE|6|0,2|AIPE|2|0,,,,,,,,7|AIPE|7|0
Default_Learn_GL_12_12,12,"ar-SA,de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,6|MTPE|0|0,2|MTPE|0|0,,,,,,,,,,,,,
Default_VS_ext_14,14,"cs-CZ,de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pl-PL,pt-BR,ru-RU,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26|MT|0|0,,,,
CES_SupportArticles_14,14,"de-DE,es-ES,fr-FR,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,,,,,,,,,1|HPE|0|1,2|AIPE|2|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_17,17,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,,1|HPE|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_Learn_17,17,"cs-CZ,da-DK,el-GR,fi-FI,hu-HU,id-ID,ko-KR,nb-NO,nl-NL,pl-PL,pt-PT,ru-RU,sk-SK,sv-SE,th-TH,tr-TR,zh-TW",2|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_18,18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,,,,,,,,2|AIPE|2|0,,,46|MT|0|0,,1|MT|0|0,,,,,,,,1|MT|0|0,,1|HPE|0|1,,,,,,,,,,,,,,,,7|MTPE|0|0
BIC_base_18_noAIPE,18,"bg-BG,ca-ES,et-EE,eu-ES,gl-ES,hi-IN,hr-HR,kk-KZ,lt-LT,lv-LV,ms-MY,ro-RO,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,uk-UA,vi-VN",,3|MT|0|0,,,,2|HPE|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_MT_18,18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,1|MT|0|0,,40|MT|0|0,28|MT|0|0,20|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,
Default_Azure_MT_19,19,"ar-SA,cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,1|MT|0|0,8|MT|0|0,29|MT|0|0,,,,,,,,,,,,,,,,,,,
BIC_base_MT_20,20,"bg-BG,ca-ES,et-EE,eu-ES,gl-ES,hi-IN,hr-HR,hu-HU,id-ID,kk-KZ,lt-LT,lv-LV,ms-MY,ro-RO,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,uk-UA,vi-VN",,3|MT|0|0,,,,,11|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_22,22,"cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,hi-IN,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,2|HPE|0|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_23_noRTL,23,"cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,,2|HPE|0|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_23,23,"ar-SA,cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,he-IL,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,3|MT|0|0,,,,,11|HPE|0|11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_AIPE_24_noHuHu,24,"ar-SA,cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,he-IL,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,,,,3|HPE|0|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Learn_APIE_24,24,"ar-SA,cs-CZ,da-DK,de-DE,es-ES,fi-FI,fr-FR,he-IL,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,6|AIPE|6|0,,,,,,,,,,,,,,
Default_PowerBI_MT_24,24,"cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sk-SK,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6|MT|0|0,,,,,,,,,
Default_QNA_25,25,"ar-SA,cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,he-IL,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|MTPE|0|0,,,,,,,,
AIPE_25,25,"ar-SA,cs-CZ,da-DK,de-DE,el-GR,es-ES,fi-FI,fr-FR,he-IL,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",,3|HPE|0|3,,,,,,,2|HPE|0|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CES_ServicesHub_27_MTonly,27,"ar-SA,bg-BG,bs-Latn-BA,ca-ES,cs-CZ,da-DK,el-GR,et-EE,fi-FI,fil-PH,he-IL,hr-HR,hu-HU,id-ID,is-IS,lt-LT,lv-LV,ms-MY,mt-MT,nb-NO,ro-RO,sk-SK,sl-SI,sr-Latn-RS,th-TH,uk-UA,vi-VN",,,,,,,,,,,1|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIC_base_MT_27,27,"bg-BG,ca-ES,de-AT,de-CH,es-MX,et-EE,eu-ES,fr-BE,fr-CA,fr-CH,gl-ES,hi-IN,hr-HR,is-IS,it-CH,kk-KZ,lt-LT,lv-LV,ms-MY,nl-BE,ro-RO,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,uk-UA,vi-VN",,,,,,,,3|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Platform_30,30,"bg-BG,ca-ES,de-AT,de-CH,es-MX,et-EE,eu-ES,fil-PH,fr-BE,fr-CA,fr-CH,ga-IE,gl-ES,hi-IN,hr-HR,is-IS,it-CH,ka-GE,kk-KZ,lt-LT,lv-LV,ms-MY,mt-MT,ro-RO,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,uk-UA,vi-VN",,,,,,,,,,,,,,,,,,,,,,,,,1|HPE|0|0,,,,,,,,,,,,,,,,
Default_Platform_37,37,"ar-SA,bg-BG,ca-ES,da-DK,de-AT,de-CH,el-GR,es-MX,et-EE,eu-ES,fi-FI,fil-PH,fr-BE,fr-CA,fr-CH,ga-IE,gl-ES,he-IL,hi-IN,hr-HR,is-IS,it-CH,ka-GE,kk-KZ,lt-LT,lv-LV,ms-MY,mt-MT,nb-NO,ro-RO,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,th-TH,uk-UA,vi-VN",,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,,,,,,,,,,,,,,,,,
Default_DocsUI_1_58_GL_52,52,"ar-SA,bg-BG,bs-Latn-BA,ca-ES,cs-CZ,de-AT,de-CH,de-DE,es-ES,es-MX,et-EE,eu-ES,fil-PH,fr-BE,fr-CA,fr-CH,fr-FR,ga-IE,gl-ES,he-IL,hi-IN,hr-HR,hu-HU,id-ID,is-IS,it-CH,it-IT,ja-JP,ka-GE,kk-KZ,ko-KR,lb-LU,lt-LT,lv-LV,ms-MY,mt-MT,nl-NL,pl-PL,pt-BR,pt-PT,ro-RO,ru-RU,sl-SI,sr-Cyrl-RS,sr-Latn-RS,sv-SE,tr-TR,uk-UA,vi-VN,zh-CN,zh-HK,zh-TW",,,,,,,,,,,,,,,,,,,,,,,,,,1|MTPE|0|0,,,,,,,,,,,,,,,
BIC_base_52,52,"ar-SA,bg-BG,ca-ES,cs-CZ,da-DK,de-AT,de-CH,de-DE,el-GR,es-ES,es-MX,et-EE,eu-ES,fi-FI,fr-BE,fr-CA,fr-CH,fr-FR,gl-ES,he-IL,hi-IN,hr-HR,hu-HU,id-ID,is-IS,it-CH,it-IT,ja-JP,kk-KZ,ko-KR,lt-LT,lv-LV,ms-MY,nb-NO,nl-BE,nl-NL,pl-PL,pt-BR,pt-PT,ro-RO,ru-RU,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,sv-SE,th-TH,tr-TR,uk-UA,vi-VN,zh-CN,zh-TW",,,,,,,,3|MT|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default_Platform_MTPE_55,55,"ar-SA,bg-BG,ca-ES,cs-CZ,da-DK,de-AT,de-CH,de-DE,el-GR,es-ES,es-MX,et-EE,eu-ES,fi-FI,fil-PH,fr-BE,fr-CA,fr-CH,fr-FR,ga-IE,gl-ES,he-IL,hi-IN,hr-HR,hu-HU,id-ID,is-IS,it-CH,it-IT,ja-JP,ka-GE,kk-KZ,ko-KR,lt-LT,lv-LV,ms-MY,mt-MT,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ro-RO,ru-RU,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,sv-SE,th-TH,tr-TR,uk-UA,vi-VN,zh-CN,zh-TW",,,,,,,,,,,,,,,,,,,,,,,1|MT|0|0,,1|MT|0|0,,,,1|MTPE|0|0,,,,,,,,,,,,
